,news,countALI,propAN,countDTS,txtSZ,countCAPS,txt
0,0,1,0.8208185053380783,0,5620,23,"FICHAS PUBLICO.PT - XV Governo Constitucional XV Governo Constitucional   Geral Internacional Economia Política Sociedade Tecnologia Cultura Media Ciências Local Ministro da Economia Carlos Tavares O Ministério da Economia tem estado debaixo de fogo nos primeiros meses de governação de centro-direita, no preciso momento em que o país entrou em ""crise"" de confiança e a economia contraiu-se fortemente. A debilidade da economia deveria merecer a intervenção do Estado, defendem os partidos da oposição, em substituição das empresas, que se encontram doentes e precisam de ser reanimadas. Carlos Tavares reconhece parte destes argumentos e desencadeia o combate ao imobilismo no seio do seu Ministério, enveredando pela reestruturação geral. O antigo quadro do Banco Santander é agora o timoneiro de um barco que concentra um vasto leque de sectores económicos e que recebeu novas competências, para além do comércio, turismo e apoios ao investimento privado. Juntou-se a estas, o picante negócio das telecomunicações e uma parcela da investigação, através da intervenção partilha no INETI - Instituto Nacional de Engenharia e Tecnologia Industrial, que preferencialmente terá maior ligação com o empresariado. O ministro Carlos Tavares embarcou num processo de reestruturação da casa, mudando as funções do Icep - Investimento, Comércio e Turismo, dos organismos do turismo e do modelo de apoio ao investimento privado. Nos apoios financeiros ao investimento privado, o ministro anunciou a concretização de 44 medidas integradas no Programa para a Produtividade e Crescimento, que constitui um dos instrumentos de revitalização do tecido empresarial português. A reestruturação do Icep é uma das peças centrais do programa do XV Governo Constitucional para inverter o clima de desconfiança que subsiste nos empresários. O organismo perde competências na captação do investimento externo, destacando-se uma nova entidade para essa função: a Agência Portuguesa para o Investimento. O organismo é dirigido pelo antigo ministro das Finanças e ex-administrador do Banco Comercial Português, Miguel Cadilhe, que terá ao seu dispor as funções de representação dos diversos organismos públicos que lidam diariamente com empresas, a gestão dos incentivos comunitários e sociedades de capital de risco, que apoiarão o lançamento de novos projectos em Portugal ou aumentarão a capacidade financeira de firmas já existentes. Na primeira linha da captação do investimento externo estará as embaixadas espalhadas pelas principais capitais mundiais, que passam a acolher os delegados do Icep nessas cidades e, dessa forma, pensa o Governo, conseguir obter sinergias nunca antes geradas. Ao IAPMEI - Instituto de Apoio às Pequenas e Médias Empresas e ao Investimento cabe a função de prestar assistência ao pequeno investimento nacional. No Programa Operacional da Economia, Carlos Tavares achou por bem suspender a sua aplicação durante algumas semanas e retomar os apoios comunitários depois da sua reformulação. Ao contrário do passado, Portugal deixa de ter uma imagem comum no exterior, defendida no passado pelo Icep, e passa a ser as empresas a beneficiar de apoios para potenciar as suas marcas. A imagem comum do país dará lugar à multiplicidade de marcas de produtos de calçado, têxteis, metalomecânica, veículos, equipamentos de transporte, vinhos, hotéis e zonas turísticas, cortiça, entre outros. Num outro patamar de preocupação encontram-se os processos de privatização da Portucel, TAP, IPE, GalEnergia e EDP. Tudo processos que estão adiados em função da degradação das condições económicas nacionais e internacionais e da fraca dinâmica do mercado de capitais. O que pode avançar até ao final do ano é a venda da rede fixa de telecomunicações, ao que tudo indica, à Portugal Telecom, o que poderá gerar um encaixe financeiro que poderá ser utilizado para reduzir o défice das contas públicas. Ao nível da legislação que toca a Economia, destaca-se a alteração do artigo 35º do Código das Empresas, associado à falência das empresas. As novas regras exigem melhores rácios de capitais próprios e, dessa forma, obriga as empresas a terem níveis de solvabilidade mais exigentes. Este tipo de alteração obrigou, por exemplo, a que algumas empresas públicas tivessem que reforçar os capitais próprios para que não fossem declaradas em falência. Nos combustíveis, está em estudo a possibilidade da sua liberalização, de uma forma regulada, diz o ministro, com o intuito de promover a concorrência entre os concessionários e, dessa forma, pressionar em baixa o preço dos combustíveis vendidos ao público. O mercado ibérico da electricidade é outro dos assuntos em cima da mesa de Carlos Tavares, que afirmou esta semana, no final da cimeira ibérica, que decorreu em Valência, que esse mercado arrancará em 2003 e a sua operacionalidade plena está prevista para daqui a três anos. Portugal pode beneficiar de electricidade mais barata, um pouco como acontece na Espanha, e também aí sairá beneficiado o consumidor, dizem os políticos. Para incentivar as empresas exportadoras, é criada no próximo ano uma reserva de 20 por cento do IRC para efeito de investimento em inovação e desenolvimento tecnológico, uma gota de água nos incentivos às empresas exportadoras. Eduardo Melo     publico.pt    publiconline    última hora    desporto    guia do lazer    banda desenhada    cinecartaz    tvzine fotojornalismo    calvin    bartoon    tempo   horóscopo    serviço público    publicidade    ficha técnica © 2001 PUBLICO.PT , Serviços Digitais Multimédia SA Email Publico.pt: Direcção Editorial - Webmaster - Publicidade        "
1,0,5,0.8060424354243543,0,8672,55,"DN - FIM DO MILÉNIO NEGÓCIOS 2000 Janeiro, 1  Entra em vigor a primeira liberalização das telecomunicações fixas. Dez novos operadores oferecem serviços e baixam tarifas, mas ficam dependentes da rede da Portugal Telecom. Janeiro 11 - O Banco Comercial Português (BCP) absorve o grupo financeiro de José de Mello, numa operação que envolve 252 milhões de contos. O BCP passa a controlar o Banco Mello e a Seguradora Império. Em troca, o grupo Mello reinveste 90 milhões de contos na compra de 9% do capital do BCP. Janeiro 18 - É anunciada a fusão entre BES e BPI. Seria criado o segundo maior grupo bancário, com 19% do mercado. A reestruturação deveria custar 45 milhões de contos. A ruptura é anunciada em Março. Março, 3 - Terminam sem êxito as negociações salariais da Função Pública. Sindicatos recusam proposta governamental de 2,5%. Março, 29 - Para recuperar receita, o Governo anuncia aumentos nos combustíveis. A gasolina sobe 17 escudos, o litro de gasóleo 15 escudos. O petróleo está em 24 dólares o barril, após um pico de 32 dólares. Na sequência dos protestos, o primeiro-ministro promete congelamento de preços até ao fim do ano. Julho, 27 - O Banco de Portugal reconhece que a economia portuguesa pode divergir da europeia em 2000 e 2001. «O padrão de crescimento dos últimos anos é insustentável», sublinha o Governador, criticando o excesso de consumo. Setembro, 13 - Os protestos europeus em torno dos aumentos de combustíveis atingem o ponto mais alto, com o bloqueio de Londres. Vários países sofrem os efeitos de paralisações de refinarias e cortes de estradas. Portugal escapa, mas o petróleo ultrapassa 32 dólares. Setembro, 22 - Pela primeira vez, o banco central europeu intervém no mercado cambial para suportar o euro. A moeda única atingira 84,43 cêntimos de dólar. Novembro, 2 - A Portugal Telecom compra 100% do capital da Lusomundo. Com um valor de 53,8 milhões de contos, este é o negócio do ano no sector da economia digital e multimédia. Em Abril, a PT investira 66 milhões na Lusomundo. Dezembro, 8 - Os aumentos da Função Pública, em 2001, são definidos em 3,7%, após uma maratona negocial com os sindicatos. Apenas a Fesap, afecta à UGT, assinou o acordo. No melhor plano cai a nódoa LUÍS NAVES A realidade surpreende os que confiam na sorte. Ao longo do ano 2000, os acasos da fortuna surpreenderam instituições e Governos, mas as maiores vítimas foram as famílias, que confiaram no dinheiro barato, e os investidores, que apostaram na eterna ascensão dos títulos digitais. Arquivo DN - Eduardo Tomé Numa cascata de ilusões perdidas, a correcção bolsista iniciada em Abril dividiu por cinco o valor de alguns papéis na moda. A queda do euro obrigou a subidas nas taxas de juro. Os portugueses tinham-se habituado ao consumo, o que empurrara o crescimento em anos anteriores. De repente, as contas tornaram-se difíceis de pagar. No fundo, talvez não se tenham alterado as tendências do tempo. Este ano, a globalização aprofundou-se, assim como as diversas integrações regionais. A Europa, por exemplo, parece ter removido o obstáculo que impedia o seu alargamento. Além disso, prosseguiram as liberalizações de mercados e a formação de grupos empresariais. Telecomunicações e banca lideraram. O BCP absorveu a parte financeira do grupo Mello; a Portugal Telecom (PT) comprou parte do BES e a totalidade da Lusomundo, grupo multimédia que integra o DN. Nos doze meses, toda a gente garantiu que quer um pedaço da Internet. No mundo, houve um choque petrolífero e o custo do barril saltou dos 24 dólares para bem acima dos 30, durante longos períodos. Em várias semanas pareceu até que ninguém tinha mão nos mercados, nem a OPEP, nem os países industrializados que dependem da energia. Quase tão mau foi o comportamento do euro. A moeda única caíu abaixo da paridade com o dólar e desceu e foi descendo. Portugal viveu nervosamente os cálculos errados. No surto de protestos após o aumento dos combustíveis, António Guterres prometeu congelar os preços da gasolina. Nos oito meses seguintes, a realidade encarregou-se de encostar o primeiro-ministro à parede, pois a carestia do petróleo obrigou o Estado a suportar preços artificialmente baixos. Outras contas também deram erro. A meio do ano já se percebia que a inflação prevista (2%) era um tiro ao lado por várias décimas, que os salários prometidos representavam aumentos de zero e que a convergência com a UE estaria em dúvida nesse ano e no seguinte. Enfim, às receitas perdidas somaram-se despesas em excesso, embora a política de combustíveis tenha suavizado a inflação e, em Setembro, evitado um buzinão que ensurdeceu metade da Europa. É no sector dos buzinões que se detecta um fenómeno inovador: as reuniões internacionais e grandes cimeiras (do G-7 ao FMI) são vulneráveis a protestos violentos de grupos anti-globalização. Na União Europeia surgem simultaneamente as hostes dos camionistas, que se aliam a agricultores e outros grupos de interesse. Capazes de paralisar países inteiros e transformar banqueiros em reféns, estes exércitos são novos poderes que nenhum governante poderá ignorar, sob pena de destruir os maravilhosos planos da pólvora. O «amargo» da subida dos juros PAULA CORDEIRO Depois da euforia consumista gerada pela descida dos juros, os portugueses sentiram em 2000 os primeiros «amargos de boca», com o agravamento das taxas a deixar muitas famílias para além da sua capacidade de pagar as dívidas. Entre o início de 1998 e Junho de 1999, com os juros em «queda livre», o crédito à habitação chegou a atingir taxas de crescimento superiores a 30%. Os juros de referência para as taxas hipotecárias  a Lisbor e a Euribor  desceram até ao mínimo de 2,4% e foram muitos os consumidores que obtiveram empréstimos com juros em torno dos 3,5%. Com a inversão da tendência, em pouco mais de um ano as taxas indicadoras ultrapassaram os 5% e os juros dos empréstimos para compra de casa saltaram para os 7%. Os portugueses, por cada 20 mil contos pedidos emprestados aos bancos, viram as suas prestações agravadas, em média, mais 20 contos mensais ao fim de um ano de aumentos. O resultado não espantou: o endividamento dos particulares disparou e de 16% do rendimento disponível em 1990, passou para 55% em Dezembro de 1999, de acordo com os dados do Banco de Portugal. Uma nova realidade para Portugal, embora os niveis de endividamento estejam ainda abaixo dos verificados na maior parte dos seus parceiros europeus. Face aos inúmeros alertas surgidos na opinião pública, o Governo iniciou uma série de trabalhos com vista a criar apoios às famílias endividadas e medidas de prevenção. As conclusões ainda não são conhecidas. E muito provavelmente nunca o virão a ser  é que, prevê-se, as taxas de juro deverão já começar a descer em 2001. Gasolinas sobem de «mansinho» ELISA FONSECA O ajustamento em Janeiro de 5$00 nas gasolinas demonstra apenas que o Governo aprendeu a lição com os aumentos que ordenou em Março de 2000  foram a «doer» e empurraram a inflação. Ano novo... subida nos combustíveis. Para já de mansinho. Dia 4, a gasolina e gasóleo aumentam 5$00, passando a custar 183$00 e 130$00 por litro. Aumentos que nada resolvem e que devem ser interpretados apenas como um sinal de que novas subidas vão acontecer durante 2001. Todos os grandes «velhos» problemas continuam por resolver: as dívidas das petrolíferas, que ascenderão a 40 milhões de contos; o imbróglio na fórmula de fixação de preços dos combustíveis, o «buraco» fiscal e a nova fiscalidade energética; assim como a coragem em avançar com a liberalização. O Governo empreendeu, no ano passado, uma política energética questionável, quer ao não deixar o mercado funcionar na questão dos preços das gasolinas, quer na criação da GalpEnergia, holding que agrupa petróleo, gás e quer estender-se à electricidade. A proclamada política de estabilidade nos preços dos combustíveis foi uma das áreas de maior fragilidade do Governo de António Guterres. O Executivo tentou resolver superficial e casuisticamente os problemas, cedendo a pressões e dando compensações fiscais a camionistas e outros transportadores. Mas todos acabaram por ser prejudicados. A 30 de Março a gasolina acabou por subir brutalmente, acelerando a inflação, ao mesmo tempo que a política de congelamento de preços provocava um forte rombo nas receitas orçamentais, «amarrando» alguns investimentos públicos necessários. E atente-se que, apesar disso, em Espanha, onde aconteceram subidas sucessivas, a gasolina é ainda mais barata que em Portugal. Uma coisa o Governo parece ter aprendido. As subidas agora vão ser de mansinho. É que, em ano de eleições, é sempre bom evitar grande contestação popular."
2,0,3,0.7819132574592433,0,3251,26,"DN   27 de Setembro de 2001 Corrida à Sonae empola Bolsa Ao contrário das outras praças, Lisboa está acima do nível registado no dia dos atentados nos EUA Márcio Alves Candoso A Bolsa de Lisboa voltou a encerrar em alta, apesar de um esfriamento perto do fim da sessão, devido à abertura em perda de Wall Street. O índice PSI-20 subiu mais 1,3 %, fixando-se a 7220,84 pontos, mas chegou a bater nos 7300 durante a negociação. Mesmo assim, Lisboa é das poucas bolsas mundiais que se pode gabar de estar a níveis superiores aos registados antes de 11 de Setembro. A puxar pelo mercado esteve a Sonae SGPS, no dia em que anunciou uma parceria para concorrer à privatização da Portucel. Operadores destacaram que, mais do que a alta de um papel que tem andado pelas ""ruas da amargura"", há que saudar o enorme volume de negócios do papel, que rodou 20,5 milhões de acções. A apanhar ""boleia"" do negócio esteve a Portucel, que subiu 5,75%. Numa altura em que a fama dos analistas não atinge ""picos de audiência"", é interessante combinar dois researchs sobre a Portugal Telecom, ontem conhecidos. A UBS Warburg desceu a sua recomendação sobre o título de buy para hold , cortando no preço-alvo, que era de 13,5 euros e agora é de 8,3. Por seu turno, o JP Morgan recomenda agora ""comprar"", depois de ""comprar a longo prazo"", estimando que a PT apresenta melhor rácio de crescimento do que o sector. O preço-alvo é de 11,30 euros. A PT fechou nos 8,04 euros, em baixa de 0,74 %, alvo de uma tomada de mais-valias depois da recente alta do título. O BCP encerrou com ganho de 2,54 %, nos 4,04 euros, em vésperas de listagem no Euronext. A Cofina, em dia de apresentação de resultados, recuperou 1,25 %, fechando nos 1,62 euros. Já a Impresa continua em quebra, aqui e ali com recuperações avulsas devido a notícias que têm mais a ver com o exterior do que com a própria casa em si. Ontem, após notícias de que se prepara para encerrar alguns títulos menos visíveis do grupo, desceu 2,76 %, cotando-se a 1,41 euros. Na Europa os fechos foram positivos. Madrid encerrou em alta de 0,64 %, Paris subiu 1,76 % e Londres ganhou 0,41 %. Em Nova Iorque, o Nasdaq perdeu 2,51 % e o Dow Jones 1,08 %. Flashes BCP entra no Euronext O Banco Comercial Português é hoje admitido à Euronext, de Amesterdão. A instituição será a primeira entidade portuguesa a ser admitida na segunda maior bolsa a nível europeu e ocupará a 44 º posição no índice Euronext 100 com uma ponderação de cerca de 0,61 %. ParaRede com prejuízos A ParaRede registou um prejuízo de 71,4 milhões de euros no primeiro semestre deste ano, contra um lucro pró-forma de 1,8 milhões nos primeiros seis meses de 2000. O volume de negócios ascendeu a 21 milhões de euros, uma quebra de 28,4 % em relação ao ano passado. Cofina soma lucros A Cofina fechou o primeiro semestre deste ano com lucros de 2,3 milhões de euros, um aumento de 22,6 % em relação ao período homólogo de 2000, enquanto o volume de negócios atingiu 102,8 milhões de euros, mais 17,2 %. Estes resultados, diz a empresa, reflectem a contribuição positiva dos sectores tradicionais. A Cofina está a proceder à racionalização da sua área de ""media"". Copyright © 1995,2001 Diário de Notícias, SA Todos os direitos reservados webmaster@DnOnline"
3,1,4,0.8322017458777885,0,1031,5,"DN-Suplementos Negócios 24 de Setembro de 2001 BCP aconselha sobre impostos na Internet O ActivoBank7 (Banco Comercial Português) passou a contar com um ""Tax Centre"", que disponibiliza informações genéricas sobre o sistema tributário português e faculta aos clientes deste banco assessoria fiscal personalizada, dando resposta a questões acerca do impacto fiscal dos produtos financeiros, disponibilizados pela instituição, na bolsa do cliente. Este ""Tax Centre"" resulta de uma parceria entre o BCP e a Ernest & Young, empresa responsável pela informação veiculada neste serviço. Fontes oficiais do BCP apontam que a aposta neste tipo de serviços se deve ao facto de a área da assessoria fiscal ainda estar pouco desenvolvida no mercado português, vendo esta iniciativa como uma oportunidade para conseguir alguma diferenciação em relação à concorrência. Até agora, as questões mais colocadas têm a ver com produtos financeiros complexos. Copyright © 1995,2001 Diário de Notícias, SA Todos os direitos reservados webmaster@DnOnline"
4,1,4,0.799618320610687,1,1048,6,"RTP Lucro do BCP terá caído 22% nos primeiros nove meses de 2003 - Analistas O lucro do Banco Comercial Português (BCP) deverá ter caído 22,57% nos primeiros nove meses deste ano, face a igual período do ano passado, de acordo com a média das estimativas de quatro analistas ouvidos pela agência Lusa. Segundo a média das estimativas, o lucro do BCP deverá ascender a 311,93 milhões de euros, valor que, ainda assim, não é directamente comparável com o do período homólogo devido a uma série de alterações no perímetro de consolidação do banco. Entre estas, destacam-se a consolidação integral do Millennium a partir de Janeiro deste ano, bem como o contributo da Seguros e Pensões, desde 31 de Março, através do método da equivalência patrimonial (rendimento de títulos). Quanto ao terceiro trimestre, o lucro do banco terá ficado nos 104,28 milhões de euros, de acordo com a mesma média. As estimativas dos analistas, para os três primeiros trimestres, oscilam entre os 307,7 e os 316 milhões de euros. Agência LUSA 2003-10-18 15:15:00 www.rtp.pt"
5,1,3,0.8119092627599244,1,1058,9,"RTP Justiça investiga novo crime de `insider trading` na fusão BCP/BPA O Ministério Público está a investigar um novo crime de abuso de informação privilegiada entre membros do Conselho Superior do Banco Comercial Português, na sequência do anúncio da fusão deste banco com o BPA, em Janeiro de 2000. Além do caso de José Machado de Almeida, cujo julgamento teve início quarta-feira, a CMVM comunicou ao Ministério Público a ocorrência de mais uma aquisição irregular de acções do BPA por parte de outro conselheiro do BCP ligado a um grupo familiar, disse aos jornalistas o antigo responsável pelo departamento de investigação da entidade supervisora, António Gajeiro. José Machado de Almeida e o director financeiro da sua empresa (JMA), Álvaro Legoinha, são acusados de ter comprado de forma ilícita 236,5 mil títulos do Banco Português do Atlântico (realizando uma mais valia de 72 mil euros), enquanto no segundo caso detectado, estão em causa mais de 1,1 milhões de títulos e uma mais valia de 400 mil euros. Agência LUSA 2004-04-14 14:45:00 www.rtp.pt"
6,0,2,0.7980349344978166,1,916,8,"RTP Euronext Lisboa encerra com PSI 20 a contrariar Europa e a cair 0,43% A bolsa portuguesa encerrou quarta-feira em baixa, com o PSI 20 a perder 0,43%, para 7.329,09 pontos, contrariando a Europa e penalizado pelos ""pesos-pesados"" BCP e Portugal Telecom. Dos 20 títulos que compõem o principal índice accionista português, apenas quatro subiram, 13 desceram e três ficaram inalterados. Os ganhos foram liderados por Jerónimo Martins e Impresa, com SAG Gest e EDP a completarem o quarteto das subidas. Pela negativa destacaram-se o grupo Portugal Telecom, a Sonae e o Banco Comercial Português, empurrando o índice para o vermelho. à excepção de Lisboa, toda a Europa encerrou em alta, com os ganhos a oscilarem entre os 0,31% de Londres e os 0,63% de Madrid. (quadros informativos da Euronext Lisboa e principais bolsas mundiais disponíveis em www.lusa.pt/mercados.asp). Agência LUSA 2004-06-23 17:25:00 www.rtp.pt"
7,0,3,0.7851851851851852,11,2160,28,"RTP RTPVídeo | Tempo | Infografismo | Trânsito | Teletexto | SMS Euronext Lisboa encerra com PSI 20 a contrariar Europa e a cair 0,43% A bolsa portuguesa encerrou quarta-feira em baixa, com o PSI 20 a perder 0,43%, para 7.329,09 pontos, contrariando a Europa e penalizado pelos ""pesos-pesados"" BCP e Portugal Telecom. Dos 20 títulos que compõem o principal índice accionista português, apenas quatro subiram, 13 desceram e três ficaram inalterados. Os ganhos foram liderados por Jerónimo Martins e Impresa, com SAG Gest e EDP a completarem o quarteto das subidas. Pela negativa destacaram-se o grupo Portugal Telecom, a Sonae e o Banco Comercial Português, empurrando o índice para o vermelho. à excepção de Lisboa, toda a Europa encerrou em alta, com os ganhos a oscilarem entre os 0,31% de Londres e os 0,63% de Madrid. (quadros informativos da Euronext Lisboa e principais bolsas mundiais disponíveis em www.lusa.pt/mercados.asp). Agência LUSA 2004-06-23 17:25:00   2004-06-23 19:25:00 Rodoviária de Lisboa em greve para contestar aumento de 2,5 por cento 2004-06-23 17:25:00 Euronext Lisboa encerra com PSI 20 a contrariar Europa e a cair 0,43% 2004-06-23 15:25:00 Impacto do Euro 2004 na economia será marginal e inferior ao da Expo 98 2004-06-23 15:20:00 Número de desempregados em Portugal diminui 2,1% em Maio, face a Abril 2004-06-23 15:15:00 EPAL aumenta preços da água entre 3,3 e 3,5%, acima da inflação esperada 2004-06-23 13:20:00 PSI 20 contraria Europa e cai pressionado por BCP e PT 2004-06-23 10:55:00 Taxas Euribor apresentam comportamento misto 2004-06-23 10:50:00 Movimento dos Utentes contesta discriminação no passe social 2004-06-23 08:15:01 Euronext Lisboa abre estável nos 7.360,69 pontos 2004-06-22 21:20:01 Movimento dos passageiros Metro Lisboa sobe mais de cinco vezes em dias de jogos RTP1 - 19:45 FUTEBOL: EURO 2004 RTP i - 18:25 MAGAZINE ÁFRICA DO SUL CONTACTO DOIS - 22:30 ROSWELL RTP Multimédia © 2002 Nacional | Internacional | Desporto | Economia | Cultura | Índice Novidades | Cinema | Concursos | Guia TV | SMS Magazine | Empresa | Contactos Acessibilidades | Termos e Condições | Política de Privacidade | Spots Promoção"
8,1,3,0.8045267489711934,1,486,5,"RTP José de Mello apresenta proposta para à Galp Energia com apoio do BCP O grupo José de Mello apresentou segunda-feira ao Estado uma proposta de compra de 33,34% da Galp Energia, apostando na criação de valor, numa operação apoiada pelo Banco Comercial Português (BCP). Em comunicado, o grupo definiu como objectivo para a petrolífera ""uma forte criação de valor"" e o ""desenvolvimento"" dos negócios da Galp Energia numa perspectiva ibérica. Agência LUSA 2004-04-26 20:00:00 www.rtp.pt"
9,0,1,0.7818028643639428,0,1187,16,"RTP GuiaTV | Programas | RTPVídeo | Meteorologia | Trânsito Escolha o programa ................ **** Em Exibição **** Bombordo Bom Dia Portugal Brincar a Brincar Clube da Europa Contra Informação Eurovisão 2004 A Floresta Mágica Jornal da Tarde Loja do Consumidor O Lugar da História Lusitana Paixão Operação Triunfo Os Patinhos Planeta Azul Portugal no Coração Praça da Alegria O Preço Certo em Euros O Processo dos Távoras Prós e Contras Quem Quer Ser Milionário Santos da Casa SMS - Ser Mais Sabedor Telejornal Tributo Ora Viva!   Para a produção de ""Ora Viva!"" a RTP obteve apoios financeiros da Secretaria de Estado da Cooperação através da Agência Portuguesa para o Desenvolvimento, da Fundação Banco Comercial Português e da Fundação Calouste Gulbenkian . Nas gravações realizadas em África a RTP contou com os apoios das televisões de serviço público TPA (Angola), TVC (Cabo Verde), TVG (Guiné-Bissau), TVM (Moçambique) e TVS (São Tomé e Príncipe).   RTP Multimédia © 2002 Nacional | Internacional | Desporto | Economia | Cultura | Índice Novidades | Cinema | Concursos | Guia TV | SMS Magazine | Empresa | Contactos Acessibilidades | Termos e Condições | Política de Privacidade"
