,news,countALI,propAN,countDTS,txtSZ,countCAPS,txt
0,0,7,0.726027397260274,0,1022,26,"Radiotelevisao Portuguesa RTPtexto 134-04 [ Página Anterior | Próxima Página | Sub-Página Anterior | Próxima Sub-Página | Página 100 | Formato Gráfico ] Acções Cotação Var% Data/H REDITUS 24,00 20,0- 03Mar 16:30 S.CAETANO 18,52 0,9+ 03Mar 14:47 S.COST-S/V 10,30 03Mai S.COSTA 3,38 1,2+ 03Mar 16:30 SEMAPA 17,25 0,2- 03Mar 16:30 SIVA 14,66 1,0- 03Mar 16:24 SOMAGUE SG 5,88 12,0+ 03Mar 16:30 SON.IND.99 8,58 10,0+ 03Mar 15:32 SONAE IMO. 13,98 1,3+ 03Mar 16:30 SONAE IND. 8,17 0,9- 03Mar 16:30 SONAE SGPS 64,85 0,5+ 03Mar 16:30 SOPORCEL 15,50 3,3+ 03Mar 16:30 SUMOL. 20,59 0,5- 03Mar 16:30 T.DUARTE 12,00 0,1+ 03Mar 16:30 TELECEL-N 25,00 0,8- 03Mar 16:30 TELECOM-N. 16,83 7,9+ 03Mar 16:30 TERTIR 3,37 2,1+ 03Mar 16:20 TRANQUIL.N 32,70 0,9+ 03Mar 16:19 UNICER 29,02 0,1- 03Mar 16:07 V.ALEGRE 12,00 0,0+ 03Mar 10:15 AMI.VERDES 4,10 21Fev   Economia Cambios Jornais RTC 240-01 440-01 410-01 106-01 Se tiver comentários a fazer, enviar mail para: Gestor da RTPtexto . © Rádiotelevisão Portuguesa Av. 5 de Outubro, 197 1050 Lisboa"
1,0,3,0.48227848101265824,0,790,8,"Radiotelevisao Portuguesa RTPtexto 537-02 [ Página Anterior | Próxima Página | Sub-Página Anterior | Próxima Sub-Página | Página 100 | Formato Gráfico ] * ***** * ***** * **** ** ** ******* RTP *** ** ** ***** * **** * ***** ***** TEXTO *** ** ** ***** * ** *** ***** ***** ** *** ** ***** * *** *** ** DISCOS 23 Jan. *************************************** * T*TULO ****** INTÉRPRETE EDIT. 7 1 Beatles-EMI 8 The Collector's... Celine Dion-SON 9 Lovers Rock Sade-SON 10 The Writting's... Destiny's Child-SON ************************************** ****** ********* *************** ***** ************************* ***** CONTACTE-NOS CONTACTE-NOS   ¡ VAúDocument Se tiver comentários a fazer, enviar mail para: Gestor da RTPtexto . © Rádiotelevisão Portuguesa Av. 5 de Outubro, 197 1050 Lisboa"
2,0,4,0.6711711711711712,0,888,25,"Radiotelevisao Portuguesa RTPtexto 240-04 [ Página Anterior | Próxima Página | Sub-Página Anterior | Próxima Sub-Página | Página 100 | Formato Gráfico ] ** ******** ** ******* ********** RTP ** ******** ** ******* ********** TEXTO ** ***************** ********** VALORES DE LISBOA E PORTO TRANSAÇÕES *************************************** Acções Negócios Euros 23Dez 17h BCP....NPR 866 14178279 TELECOM-N. 828 10147167 CIMPORSGPS 67 8505057 PTMULT.NOM 263 6263230 E.D.P.NOM. 600 5324234 BRISA-PRIV 501 3285202 VODTELEC-N 438 2407502 BES.NPR 132 1535787 SONAE SGPS 138 1085955 J.MARTINS 124 856079 SEMAPA 34 340388 SONAE.COM 139 329882 CIN 78 325763 Banco BPI 112 268729 PORTUCEL.N 53 155108   Noticias Economia TV'S Totolotarias 120-01 122-01 123-01 490-01 Se tiver comentários a fazer, enviar mail para: Gestor da RTPtexto . © Rádiotelevisão Portuguesa Av. 5 de Outubro, 197 1050 Lisboa"
3,0,1,0.816400580551524,0,1378,19,"DN-Sinteses   28 de Setembro de 2001 Nunca vi nenhum filme de Stanley Kubrick. Não são para a minha idade Haley Joel Osment (Actor) ENTREVISTA COM STEVEN SPIELBERG ""É possível amar uma máquina"" Susanne Weingarten Thomas Huetlin A cara da notícia CINEMA O cibermenino de sua mãe Eurico de Barros Stanley Kubrick e Steven Spielberg não combinam bem em ""A.I.-Inteligência Artificial"". E Spielberg, determinado a satisfazer o rapazinho feito em laboratório e a plateia, não acaba o filme onde devia Festa do Cinema Francês em Outubro Haverá 21 filmes inéditos na segunda edição centrada em Lisboa, mas extensiva a Coimbra e Porto ENCONTROS ACARTE Uma só noite com a sensual ""Salomé"" dinamarquesa Maria João Caetano SEMINÁRIO A língua como instrumento de educação na Europa Ana Pago LISBOA Feira do disco de colecção no Parque das Nações FESTIVAL ""Performances"" de todo o mundo nas ruas do Porto Marcos Cruz LIVROS Um testamento escarninho Viale Moutinho As ""últimas vontades"" do implacável Vasco Graça Moura aos 60 anos. Uma obra de risco no campo das reacções Testamento de VGM Um (novo) retrato do Porto por Graça Moura e A. Cruz Viale Moutinho Memórias e imagens do passado próximo portuense Páginas do Porto Top livros - Lisboa Cartoons Niquel Nausea Shirley and Son Dilbert Condominio Copyright © 1995,2001 Diário de Notícias, SA Todos os direitos reservados webmaster@DnOnline"
4,0,2,0.7699214365881033,1,891,12,"RTP Euronext Lisboa fecha com ganho de 1,86%, o menor da Europa A Euronext Lisboa fechou hoje em alta, seguindo a tendência que dominou as principais praças internacionais, mas sem força para acompanhar os seus fortes ganhos. O PSI 20 ganhou 1,86%, para 5.324,81 pontos, com 13 títulos acima da linha de água. Os títulos mais transaccionados do PSI 20 foram a PT, o BCP e a Vodafone. As maiores subidas deste indicador foram protagonizadas pela Sonae.com, PTMultimedia e ParaRede, enquanto as maiores descidas foram lideradas pela Tduarte, Jmartins e SAG. à hora do fecho da bolsa de Lisboa, os índices internacionais encontravam-se todos em alta: Ibex 35 (Madrid) 5,10%, FTSE 100 (Londres) 4,61%, CAC 40 (Paris) 6,96%, Dax Xetra (Frankfurt) 5,42%, MIB 30 (Milão) 6,26%, Nasdaq Composite (Nova Iorque) 4,13% e Dow Jones (também Nova Iorque) 3,53%. Agência LUSA 2002-10-15 17:40:00 www.rtp.pt"
5,0,1,0.6461377870563675,0,958,11,"Radiotelevisao Portuguesa RTPtexto 653-06 [ Página Anterior | Próxima Página | Sub-Página Anterior | Próxima Sub-Página | Página 100 | Formato Gráfico ] * *** ** * ******** * * *** ***************** * ******** * * *** ** ************** * ******** * * *** **** ****** ***** * ******** * ************************************** ANOS 70 E 80 Cod. MUSICA CANTOR 1188 Carol Chuck Berry 1212 Congratulations Cliff Rich. 1290 Black Night Deep Purple 1291 Smoke on the water Deep Purple 1325 Can t hurry love Diana Ross 2053 Walk of life Dire Strai. 1402 I Love Paris Doris Day 1403 Sexy Eyes Dr Hook 1404 Sylvias Mother Dr Hook 1452 Son of a preacherm. Dusty Spri. 1465 Take It Easy Eagles 2486 Milord Edith Piaf Envie SMS para nº 4003 SÓ NOKIA Ex.: TVTOQ 1291 Custo SMS 1,00 E   SMSMagazine Menu Toques Menu Logos 600-01 645-01 620-01 Se tiver comentários a fazer, enviar mail para: Gestor da RTPtexto . © Rádiotelevisão Portuguesa Av. 5 de Outubro, 197 1050 Lisboa"
6,0,2,0.789568345323741,11,1668,16,"RTP RTPVídeo | Meteorologia | Infografismo | Teletexto | SMS Euronext Lisboa contraria Europa e fecha a subir 0,55% A Euronext Lisboa fechou hoje em alta ligeira, contrariando a tendência das principais praças europeias, que estão a cair aproximadamente 1%. O PSI 20 subiu 0,55%, para 5.882,05 pontos, com seis títulos em alta, nove em baixa e cinco inalterados, somando duas sessões consecutivas de ganhos. Os títulos mais transaccionados do PSI 20 foram a PT, o BCP e a Brisa. As maiores subidas deste indicador foram protagonizadas pela EDP, Sonae e Brisa, enquanto as maiores descidas foram lideradas pela Tduarte, Jmartins e Semapa. Agência LUSA 2002-12-17 17:35:00   2002-12-27 09:55:01 Euronext Lisboa segue Europa em baixa com PSI 20 a cair 1,45% 2002-12-27 07:35:00 Acordo para construção de ""grande gasoduto"" afegão assinado hoje 2002-12-26 18:30:12 Estado menos interventor na esfera produtiva 2002-12-26 18:29:07 Estado encaixa 200 milhões de euros com extinção da IPE 2002-12-26 16:10:00 Televisão com menos 8,8% de negócios em 2001 2002-12-26 14:55:00 Volume de negócios dos serviços publicitários caiu 4,3% em 2001 2002-12-26 13:55:01 Serviços informáticos representaram um terço das receitas de 2001 2002-12-26 12:45:00 Receitas dos serviços de telecomunicações cresceram 32,2% em 2001 2002-12-26 10:49:06 Lotaria de Natal nos EUA atinge valor recorde 2002-12-25 12:14:59 Ouro deverá fechar 2002 com maior subida em 23 anos RTP Multimédia © 2002 Nacional | Internacional | Desporto | Economia | Cultura | Índice Novidades | Cinema | Concursos | Guia TV | SMS Magazine | Empresa | Contactos Acessibilidades | Termos e Condições | Política de Privacidade"
7,0,1,0.8185884691848907,0,2012,20,"DN-Sinteses   27 de Setembro de 2001 ""De que é que serve ser escritor se não irritarmos muita gente?"" Norman Mailer (Escritor) ENCONTROS ACARTE ""Zapping"" interactivo e ao vivo Elisabete França Art Point M promove encontros imediatos nos vários graus entre ""Quelques Gens de Plus ou de Moins"", debaixo do pano Uma mão-cheia de propostas palpitantes As várias caras de ""Lulu"" Bruno Miguel Castro Waxfactory estreia hoje um espectáculo inspirado na obra de Wedekind. Faces diferentes da mesma mulher ou várias mulheres sem face CINEMA Geniuzastare tem novo ciclo ""Estranhos Mundos - Estranhos Hábitos"" abre hoje no Cine 222 com ""Angels of the Universe"" INGLATERRA Nicholas Hytner vai dirigir o Royal National Theatre Prestigiado encenador e realizador tem 45 anos ÓBITO Arquitectura e ""design"" de luto por António Sena da Silva EXPOSIÇÕES Um novo espaço para a arte Galeria Filomena Soares, que hoje é inaugurada em Lisboa, abre com uma mostra de fotografias inéditas de Helena Almeida e um ""project room"" com vídeos e ""performances"" de quatro artistas CINEMA Guineense Flora Gomes roda ""Nha Fala"" em Cabo Verde Portugal, França e Luxemburgo co-produzem o filme TEATRO Caleidoscópio da situação ocidental sob visão crítica Elisabete França Cornucópia encerra ciclo do romantismo alemão com a tragicomédia de Lenz ""O Novo Menoza"" PORTO 2001 - CAPITAL DA CULTURA Guia para ver a arquitectura portuense do século XX Fernando Madaíl Fichas-separatas explicam edifícios singulares, conjuntos urbanos e programas temáticos LIVROS Um livro guloso de sabores Maria Teresa Horta O amargor do chocolate, a loucura do açúcar a tomar ponto no tacho. O encantatório com a assinatura de Espido Freire ""Pêssegos Gelados"" estante ""Cultura Juvenil Negra em Portugal"" ""Dicionário das Descobertas"" ""O Tráfico de Escravos"" ""Capitães do Brasil"" ""Diálogo entre Marx e Bakunine"" Cartoons Niquel Nausea Chiclete com Banana Dilbert Shirley and Son Copyright © 1995,2001 Diário de Notícias, SA Todos os direitos reservados webmaster@DnOnline"
8,1,14,0.8104484512251503,0,2163,10,"DN   20 de Setembro de 2001 Bolsa não serve para nada, diz Belmiro O patrão do grupo Sonae critica divergência entre as cotações e o valor real das empresas Ilídia Pinto Arquivo DN ENDIVIDAMENTO. ""Um pé no travão e outro no acelerador"" ""O mercado de capitais já foi extremamente importante para financiar as empresas, mas neste momento não serve para nada."" A afirmação é de Belmiro de Azevedo, presidente da Sonae, que estende esta apreciação às bolsas europeias, sustentando-a na divergência entre as cotações e o valor real das empresas. ""Para se recorrer ao mercado de capitais tem de haver uma relação razoável entre o valor económico e o valor financeiro das empresas. Neste momento, o económico não é traduzido de forma equivalente no mercado financeiro"", sublinha o patrão da Sonae. Belmiro de Azevedo, que foi abordado pelo jornalistas à saída do seminário ""Integração Regional e Globalização"", promovido pela Comissão de Coordenação da Região Norte, recusou-se a comentar rumores de uma eventual retirada da Bolsa da Sonae Indústria e da Sonae.Com, bem como sobre a hipótese de a Sonae SGPS ser cotada na Europa. Quanto às contas semestrais do grupo, anteontem apresentadas, o empresário desvalorizou o aumento do endividamento, salientando que ""do lado do activo o património cresceu ainda mais"". ""Se quisessemos baixar o endividamento fazíamos um saldo, coisa que não queremos fazer"", sublinhou o empresário, acrescentando que esta é uma forma de financiamento legítima que ""está sempre sob controlo"". E lembrou que ""ter sempre um pé no travão e outro no acelerador"" é a sua forma de estar no mundo dos negócios há mais de 30 anos. Belmiro de Azevedo recusou, também, responder se tenciona vender a área da distribuição no Brasil, referindo apenas que ""a Sonae tem uma atitude dinâmica e normalmente uma maior propensão para comprar do que para vender"". O empresário negou, ainda, que a entrada do Carrefour na Modelo Continente (resultante da fusão com a Promodés) constitua um problema. ""Não há ninguém insatisfeito porque nos ignoramos mutuamente"", disse. Copyright © 1995,2001 Diário de Notícias, SA Todos os direitos reservados webmaster@DnOnline"
9,0,2,0.5539488320355951,0,899,12,"Radiotelevisao Portuguesa RTPtexto 240-01 [ Página Anterior | Próxima Página | Sub-Página Anterior | Próxima Sub-Página | Página 100 | Formato Gráfico ] ** **** * ********** * **** * * * **** * **** **** ** **** * * * ** * ** * ** * * **** * * **** * **** **** ** * * ** * **** * ** * ** * **** * * * **** * **** **** E C O N O M I A *************************************** Bolsa de Lisboa encerra negativa... 241 *************************************** Mercado cambial pouco activo....... 242 Empresas tecnológicas ao ataque.... 243 Empresa moçambicana de energia..... 244 Novo livro de Mia Couto em Junho... 245 OPV da Sonae.com com preço único... 246 Greve na Hidroeléctrica CahoraBassa 247 PRINCIPAIS BOLSAS MUNDIAIS .... 248 Cotações da Bolsa de Lisboa 133 /4   ¡ Se tiver comentários a fazer, enviar mail para: Gestor da RTPtexto . © Rádiotelevisão Portuguesa Av. 5 de Outubro, 197 1050 Lisboa"
