anos,Banco Comercial Português,BPC,Millenium,Galp,EDP,Energias de Portugal,Sonae,Mota-Engil
2000,2,0,3,11,15,0,15,0
2001,6,0,5,10,13,2,15,3
2002,10,0,6,10,12,0,15,1
2003,12,0,6,10,15,0,15,5
2004,8,3,10,13,10,5,10,5
2005,6,3,9,15,14,5,12,7
2006,5,5,5,5,5,5,5,5
2007,6,1,7,15,19,5,14,13
2008,4,0,0,12,8,1,10,8
2009,4,0,5,11,15,0,10,10
2010,5,5,14,18,50,5,25,7
2011,15,5,14,49,71,11,38,24
2012,11,1,14,33,75,8,31,26
2013,28,0,11,87,120,13,118,52
2014,16,10,25,47,68,15,67,85
2015,15,13,64,154,382,15,309,123
2016,18,10,25,56,91,17,69,104
2017,15,13,19,72,66,15,61,44
2018,15,15,20,64,79,17,57,20
2019,20,13,32,84,101,15,76,37
2020,19,12,20,26,61,12,55,40
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
